Fund Custody Code;External Fund Identifier;Fund Name;Trade Date;Value Date;IBAN;Account Type;Currency;Amount;Reversal Flag;Transaction Type;Transaction ID
1509;DB3784Z9173803;CHALLENGE COUNTER CYCLICAL;30112015;30112015;EMEM ME88 8882 8200 8222 8200;CABR;DKK;-28.66;N;S1;
1509;DB3784Z9173803;CHALLENGE COUNTER CYCLICAL;30112015;30112015;EMEM ME80 8882 8200 8220 2200;CABR;CAD;10.3;N;S2;
1509;DB3784Z9173803;CHALLENGE COUNTER CYCLICAL;30112015;30112015;EMEM ME82 8882 8200 8222 8800;CABR;AUD;134.28;N;S2;
1509;DB3784Z9173803;CHALLENGE COUNTER CYCLICAL;30112015;30112015;EMEM ME28 8882 8200 8222 8200;CABR;USD;420;N;EE;001509EEA0219000
1780;DB4223Z9173803;CHALLENGE INTL EQUITY;30112015;30112015;EMEM ME28 8888 8282 0220 8000;CABR;AUD;172.82;N;S2;
1780;DB4223Z9173803;CHALLENGE INTL EQUITY;30112015;30112015;EMEM ME22 8888 8282 0222 8800;CABR;CAD;18.83;N;S2;
1780;DB4223Z9173803;CHALLENGE INTL EQUITY;30112015;30112015;EMEM ME22 8888 8282 0222 8200;CABR;CHF;-32.41;N;S1;
1780;DB4223Z9173803;CHALLENGE INTL EQUITY;30112015;30112015;EMEM ME82 8888 8282 0220 8800;CABR;DKK;-43.15;N;S1;
1780;DB4223Z9173803;CHALLENGE INTL EQUITY;30112015;30112015;EMEM ME82 8888 8282 0222 2800;CABR;EUR;-22.19;N;S1;
1780;DB4223Z9173803;CHALLENGE INTL EQUITY;30112015;30112015;EMEM ME22 8888 8282 0228 8800;CABR;JPY;-1035;N;S1;
1780;DB4223Z9173803;CHALLENGE INTL EQUITY;30112015;30112015;EMEM ME28 8888 8282 0228 2800;CABR;NZD;61.4;N;S2;
1780;DB4223Z9173803;CHALLENGE INTL EQUITY;30112015;30112015;EMEM ME02 8888 8282 0220 8200;CABR;SEK;-59.26;N;S1;
1780;DB4223Z9173803;CHALLENGE INTL EQUITY;30112015;30112015;EMEM ME82 8888 8282 0228 2200;CABR;GBP;23.21;N;S2;
1780;DB4223Z9173803;CHALLENGE INTL EQUITY;30112015;30112015;EMEM ME28 8888 8282 0222 2200;CABR;USD;1.42;N;S2;
1780;DB4223Z9173803;CHALLENGE INTL EQUITY;30112015;30112015;EMEM ME22 8888 8282 0228 8200;CABR;NOK;22.57;N;S2;
1780;DB4223Z9173803;CHALLENGE INTL EQUITY;30112015;30112015;EMEM ME28 8888 8282 0222 2200;CABR;USD;4320;N;EE;001780EEA1261000
626;DB8813Z9173803;CHALLENGE EUROPEAN EQUITY;30112015;30112015;EMEM ME28 8882 8828 8228 2200;CABR;SEK;-86.3;N;S1;
626;DB8813Z9173803;CHALLENGE EUROPEAN EQUITY;30112015;30112015;EMEM ME80 8882 8828 8222 2800;CABR;GBP;23.47;N;S2;
626;DB8813Z9173803;CHALLENGE EUROPEAN EQUITY;30112015;30112015;EMEM ME08 8882 8828 8222 2800;CABR;CHF;-309.47;N;S1;
626;DB8813Z9173803;CHALLENGE EUROPEAN EQUITY;30112015;30112015;EMEM ME28 8882 8828 8228 2200;CABR;NOK;28.87;N;S2;
626;DB8813Z9173803;CHALLENGE EUROPEAN EQUITY;30112015;30112015;EMEM ME22 8882 8828 8228 2800;CABR;DKK;-48.51;N;S1;
626;DB8813Z9173803;CHALLENGE EUROPEAN EQUITY;30112015;30112015;EMEM ME82 8882 8828 8228 2200;CABR;USD;0.01;N;S2;
626;DB8813Z9173803;CHALLENGE EUROPEAN EQUITY;30112015;30112015;EMEM ME82 8882 8828 8222 2200;CABR;EUR;-380.37;N;S1;
626;DB8813Z9173803;CHALLENGE EUROPEAN EQUITY;30112015;30112015;EMEM ME28 8882 8828 8222 2800;CABR;ZAR;4.21;N;S2;
626;DB8813Z9173803;CHALLENGE EUROPEAN EQUITY;30112015;30112015;EMEM ME80 8882 8828 8222 2800;CABR;GBP;-1485;N;SE;000626SEA1475000
626;DB8813Z9173803;CHALLENGE EUROPEAN EQUITY;30112015;30112015;EMEM ME08 8882 8828 8222 2800;CABR;CHF;4800;N;EE;000626EEA1485000
626;DB8813Z9173803;CHALLENGE EUROPEAN EQUITY;30112015;30112015;EMEM ME82 8882 8828 8222 2200;CABR;EUR;-4400;N;SE;000626SEA1474000
626;DB8813Z9173803;CHALLENGE EUROPEAN EQUITY;30112015;30112015;EMEM ME82 8882 8828 8222 2200;CABR;EUR;2000;N;EE;000626EEA1486000
10961;DB8827Z5987475;CHALLENGE PROVIDENT FUND 4;30112015;30112015;EMEM ME82 8888 8800 0822 8200;CABR;EUR;-269.54;N;S1;
10958;DB8824Z5987475;CHALLENGE PROVIDENT FUND 1;30112015;30112015;EMEM ME22 8882 8800 0828 8200;CABR;EUR;-3639.49;N;S1;
10958;DB8824Z5987475;CHALLENGE PROVIDENT FUND 1;30112015;30112015;EMEM ME82 8888 8800 0828 2200;CABR;USD;7.55;N;S2;
10958;DB8824Z5987475;CHALLENGE PROVIDENT FUND 1;30112015;30112015;EMEM ME22 8882 8800 0828 8200;CABR;CAD;823.52;N;S2;
10958;DB8824Z5987475;CHALLENGE PROVIDENT FUND 1;30112015;30112015;EMEM ME88 8882 8800 0828 2200;CABR;NOK;7165.3;N;S2;
10958;DB8824Z5987475;CHALLENGE PROVIDENT FUND 1;30112015;30112015;EMEM ME22 8880 8800 0828 2200;CABR;SEK;-10155.2;N;S1;
10958;DB8824Z5987475;CHALLENGE PROVIDENT FUND 1;30112015;30112015;EMEM ME82 8882 8800 0828 2800;CABR;AUD;7763.5;N;S2;
10958;DB8824Z5987475;CHALLENGE PROVIDENT FUND 1;30112015;30112015;EMEM ME20 8882 8800 0828 2200;CABR;CHF;-7035.52;N;S1;
10958;DB8824Z5987475;CHALLENGE PROVIDENT FUND 1;30112015;30112015;EMEM ME22 8882 8800 0828 2200;CABR;GBP;458.96;N;S2;
639;DB5200Z9397076;CHALLENGE INT BOND FD;30112015;30112015;EMEM ME22 8882 8820 2228 2200;CABR;SEK;-8.33;N;S1;
639;DB5200Z9397076;CHALLENGE INT BOND FD;30112015;30112015;EMEM ME82 8882 8820 2222 8200;CABR;GBP;6.08;N;S2;
639;DB5200Z9397076;CHALLENGE INT BOND FD;30112015;30112015;EMEM ME22 8882 8820 2222 2000;CABR;JPY;-411;N;S1;
639;DB5200Z9397076;CHALLENGE INT BOND FD;30112015;30112015;EMEM ME22 8882 8820 2228 0200;CABR;USD;0.14;N;S2;
639;DB5200Z9397076;CHALLENGE INT BOND FD;30112015;30112015;EMEM ME88 8882 8820 2222 0200;CABR;CAD;0.89;N;S2;
639;DB5200Z9397076;CHALLENGE INT BOND FD;30112015;30112015;EMEM ME80 8882 8820 2220 2800;CABR;DKK;-32.63;N;S1;
639;DB5200Z9397076;CHALLENGE INT BOND FD;30112015;30112015;EMEM ME82 8882 8820 2220 2800;CABR;AUD;25.65;N;S2;
639;DB5200Z9397076;CHALLENGE INT BOND FD;30112015;30112015;EMEM ME28 8882 8820 2222 2000;CABR;EUR;-36.81;N;S1;
1512;DB3785Z9173803;CHALLENGE TECHNOLOGY FD;30112015;30112015;EMEM ME22 8888 8200 8280 2200;CABR;EUR;-7.96;N;S1;
1512;DB3785Z9173803;CHALLENGE TECHNOLOGY FD;30112015;30112015;EMEM ME22 8888 8200 8288 2800;CABR;USD;0.16;N;S2;
1512;DB3785Z9173803;CHALLENGE TECHNOLOGY FD;30112015;30112015;EMEM ME22 8888 8200 8288 2800;CABR;GBP;1.23;N;S2;
1512;DB3785Z9173803;CHALLENGE TECHNOLOGY FD;30112015;30112015;EMEM ME82 8888 8200 8282 8800;CABR;CHF;-0.4;N;S1;
1512;DB3785Z9173803;CHALLENGE TECHNOLOGY FD;30112015;30112015;EMEM ME88 8888 8200 8288 2000;CABR;SEK;-6.03;N;S1;
